Matière,Sujet,Serie,Années,Pays,Type
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI-2016-Physique-series-C-E.pdf,Sciences Dures,2016, Côte d'Ivoire,BAC
 SVT,http://www.examens-concours.net/sujets/RCI-2016-SVT-series-C.pdf,C,2016, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI-2016-Anglais-series-A-LV2.pdf,A2,2016, Côte d'Ivoire,BAC
 Anglais,http://www.examens-concours.net/sujets/RCI-2016-Anglais-series-A-LV1.pdf,A,2016, Côte d'Ivoire,BAC
 SVT,http://www.examens-concours.net/sujets/RCI-2016-SVT-series-D.pdf,D,2016, Côte d'Ivoire,BAC
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI-2016-Physique-series-D.pdf,D,2016, Côte d'Ivoire,BAC
 Français,http://www.examens-concours.net/sujets/RCI-2016-Francais-series-ABCCDEH.pdf,Toutes Serie,2016, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2016-Philo-series-CDE.pdf,Sciences,2016, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-2016-Maths-series-C.pdf,C,2016, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-2016-Maths-series-E.pdf,E,2016, Côte d'Ivoire,BAC
 Philosophie,http://www.examens-concours.net/sujets/RCI-2016-Philo-Series-A.pdf,A,2016, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-2016-Maths-series-D.pdf,D,2016, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2016-Maths-serie-A1.pdf,A1,2016, Côte d'Ivoire,BAC
 Mathématiques,http://www.examens-concours.net/sujets/RCI-BAC-2016-Maths-series-A2-H.pdf,A2,2016, Côte d'Ivoire,BAC
 Physique-Chimie,http://www.examens-concours.net/sujets/RCI-Bac-2014-PC-series-CE.pdf,Sciences Dures,2014, Côte d'Ivoire,BAC
